"Decision by","Case number/name",Jurisdiction,"Date of decision","Relevant GDPR articles","Relevant EU laws","Relevant national/other laws","Type of decision & outcome",Fine,Parties,Contributor,Summary
"Court: ABRvS",202100789/1/A3,Netherlands,17.05.2023,"5(1)(b), 6(1)(e), 17(1), 17(3)(e)",,"Article 11(1) ICOV
Article 172 Gemw
Article 5(4) ICOV
Article 5(5) ICOV
Article 6 (1) ICOV
Article 8(1) ICOV",,,"Mayor of Maastricht","Nur Khmeydan","The Court of Appeals ruled that the Mayor can reject data removal requests pursuant to Article 17 GDPR when processing data in the public interest."
"DPA: AEPD (Spain)",PS/00586/2022,Spain,17.05.2023,6(1),,"Article 20 LOPDGDD","Complaint → Upheld","50000 EUR","Fusiona Soluciones Energéticas, S.A.",Mgrd,"The Spanish DPA held that the registration of a data subject in a common credit information system was unlawful as the debt was neither 'certain, nor due or payable'. It fined the controller €50,000."
"DPA: Garante per la protezione dei dati personali (Italy)",9899914,Italy,18.08.2021,"12, 15",,,"Complaint → Upheld","40000 EUR","Volkswagen Leasing GmbH","Bernardo Armentano","In response to an access request, Volkswagen Leasing failed to provide personal data that it had obtained from a credit information system and used for the creditworthiness assessment of the data subject. The Italian DPA issued a fine of €40,000."
"DPA: Commissioner (Cyprus)",XXXXXXXXX,Cyprus,,"5(1)(c), 6",,"Article 29(1) of Law 125(I)/2018","Complaint → Upheld","3000 EUR","Breikot Management Ltd
5 anonymous complainants","Evangelia Tsimpida","The Cypriot DPA upheld a fine of €3,000 imposed against a local newspaper for the violations of Articles 5(1)(c) and 6 GDPR and Article 29(1) of Law 125(I)/2018. In this case, the Cypriot DPA reviewed one of its previous decisions, following an order by the Administrative Court."
"DPA: ANSPDCP (Romania)","Fina against NN Pensii Societate de Administrare a unui Fond de Pensii Administrat Privat S.A. and NN Asigurări de Viață S.A.",Romania,,"32(1)(b), 32(1)(d), 32(2)",,,"Investigation → Violation Found","2500 EUR","NN Asigurări de Viață S.A.
NN Pensii Societate de Administrare a unui Fond de Pensii Administrat Privat S.A.","Diana Rosu","Following a data breach, the Romanian DPA found that controllers had not sufficiently tested their online app before deployment and did not carry tests and assessments leading to unauthorised disclosure of personal data in violation of Article 32 GDPR."
"Court: BVwG","W245 2252208-1/36E & W245 2252221-1/30E",Austria,12.05.2023,"44, 46(2)(c)",,,Other,,"Österreichischen Datenschutzbehörde (Austrian data protection authority)
Google LLC","Norman Aasma","The use of Google Analytics by an Austrian website was declared unlawful by the Austrian Federal Administrative Court. The Court also held that Chapter V of the GDPR does not apply to the Google US, the data importer."
"Court: Cass.Civ.",13073/23,Italy,19.04.2023,82,,,,,,mg,"The Court of Cassation held that no minimum threshold applies under Article 82 GDPR, a “marginal” damage being sufficient to claim compensation. The controller cannot rely on the fact that it subsequently brought processing into compliance with the GDPR to exclude its liability."
"DPA: ANSPDCP (Romania)","Fine against Libra Internet Bank SA",Romania,,"12(2), 12(4), 15(1), 15(3), 15(4)",,,"Investigation → Violation Found","11000 EUR","Libra Internet Bank SA","Diana Rosu","The Romanian authority fined a bank approximately 11.000€ for failing to properly answer an access request. (The controller did not share a copy of all the data held about the data subject, including some video recordings, did not send the personal data in the format required by the data subject and did not respect the format requirements of Article 12(4)."
"Court: Rb. Den Haag","AWB - 22 _ 5012",Netherlands,26.04.2023,"5, 15",,,,,"Authoriteit Persoonsgegevens",kv33,"The Dutch District Court of Den Haag rejected two claims of immaterial damages filed against both the Dutch Tax Authority and the Dutch DPA. Among others complaints, the data subject claimed that the Tax Authority had unlawfully provided information to the DPA regarding his ongoing procedures at the Tax Authority."
"Court: LG Köln","33 O 376/22",Germany,23.03.2023,"6(1)(b), 6(1)(f), 44, 45, 46(2)(c), 49(1)(a)",,,Other,,"Verbraucherzentrale NRW e.V., Beratungsstelle Köln
Telekom Deutschland GmbH","Norman Aasma","In what is one of the first judicial decisions on the matter, a national court held that data transfer to the US in the context of Google Analytics was unlawful."
"DPA: ICO (UK)","Norfolk County Council","United Kingdom",,"12(3), 15(1), 15(3)",,,"Investigation → Violation Found",,"Norfolk County Council",At33,"The Commissioner has decided to issue a reprimand to the Council in relation to the infringements of Article 12 (3), Article 15 (1) and Article 15 (3) of the UK GDPR set out above."
"DPA: Commissioner (Cyprus)",11.17.001.010.199,Cyprus,04.05.2023,"2(2)(c), 4(1), 4(2), 4(7), 4(11), 6, 9, 31, 58",,,"Complaint → Upheld",,,"ANASTASIA TSERMENIDOU","The DPA of Cyprus examined the case of public online disclosure of sensitive personal data of the complainant."
"DPA: AZOP (Croatia)","Decision 04-05-2023",Croatia,04.05.2023,"13(1), 28(3), 32(1)",,,"Investigation → Violation Found","2265000 EUR",,'-,"Following an anonymous complaint against a debt collection agency the Croatian DPA issued a €2,265,000 fine for lack of security measures, lack of a processing agreement and violation of the controller's information obligation."
"DPA: APD/GBA (Belgium)",47/2023,Belgium,27.04.2023,,,"Article 58 WOG
Article 95, §1, 3° WOG","Complaint → Rejected",,,"Matthias Smet","The Belgian DPA considered that a data subject complaining against his former employer for publishing a picture in which he appears lacked standing since he could not prove he was actually on the photo."
"DPA: APD/GBA (Belgium)",45/2023,Belgium,27.04.2023,"6(1)(a), 6(1)(b), 9(2)(a), 20(3)",,"Article 254 KB 3 juli 1996","Complaint → Partly Upheld",,"X
la mutualité Y","Matthias Smet","The complainant submits a complaint to the DPA after having repeatedly unsuccessfully addressed the controller to exercise his right to data portability in the context of switching to a new health insurance fund. The DPA rejects the complaints since the conditions in order to exercise the right to data portability were not met."
"DPA: Datatilsynet (Norway)",22/03622,Norway,26.04.2023,"5(1)(c), 6(3), 58(2)(f)",,"Statistikkloven (The Statistics Act, in English)
Statistikkloven (The Statistics Act)","Investigation → Violation Found",,,"Rie Aleksandra Walle","The Norwegian DPA imposed a ban on the national statistical institute's planned real-time mass-processing of nearly all purchase data in the country, including linkage to bank accounts and birth dates, for the purpose of providing official statistics."
"Court: TA Luxembourg",45716,Luxembourg,21.04.2023,"51, 78, 79",,,,,,'-,"The Administrative Court of Luxembourg held that a data subject whose data were erased by the controller lacked of standing to appeal a DPA decision."
"Court: TA Luxembourg",45717,Luxembourg,21.04.2023,"15, 27, 57(1)(f), 77, 78, 79",,,,,,'-,"The Administrative Court considered, among other things, that a data subject could not prove its original access request and was therefore not adversely affected by the DPA decision to not handle his complaint."
"DPA: AEPD (Spain)",PS/00353/2022,Spain,28.04.2023,"5(1)(f), 32",,,"Complaint → Upheld","3000 EUR",,Mgrd,"An association that disclosed personal data of one of its members in a Whatsapp group was fined €3,000 for violating Articles 5(1)(f) and 32 GDPR."
"DPA: ICO (UK)","Plymouth City Council","United Kingdom",,"12(3), 15(1), 15(3)",,,"Investigation → Violation Found",,"Plymouth City Council",At33,"A reprimand has been issued to Plymouth City Council in relation to the infringements of Article 12 (3) and Article 15 of the UK GDPR. This case forms part of the ICO’s wider work into SAR compliance."
"DPA: ICO (UK)","Ministry of Justice (1)","United Kingdom",27.04.2023,"5(1)(f), 32(1), 32(2)",,,"Investigation → Violation Found",,"Ministry of Justice",At33,"The ICO has issued a formal reprimand to the Ministry of Justice (MoJ) after confidential waste documents were left in an unsecured prison holding area."
"Court: LG Baden-Baden","3 O 277/22",Germany,16.01.2023,"6(1)(a), 82",,"§ 242 BGB",,,,ludwigederle,"The Regional Court of Baden-Baden ruled that access to a controller's website for the sole purpose of generating data protection claims for damages breaches the German law principle of ""good faith"" and therefore no compensation under Article 82 GDPR was possible."
"DPA: AEPD (Spain)",PS-00505-2022,Spain,,6(1),,,"Complaint → Upheld","70000 EUR","DIGI SPAIN TELECOM, S.L.",isabela.maria.rosal,"The Spanish DPA imposed a fine of €70,000 on Digi Spain Telecom for providing an unauthorized duplicate of the data subject's SIM card to a third party that used it for identity theft."
"Court: VwGH","Ro 2019/04/0232",Austria,28.03.2023,17,,,,,,mg,"According to the Austrian Supreme Administrative Court, a data subject can identify which data should be deleted under Article 17 GDPR. However, a controller does not have to limit the deletion to those data."
"DPA: ANSPDCP (Romania)","ANSPDCP 24.04.2023",Romania,,"12(3), 21",,,"Investigation → Violation Found","1000 EUR",,carlafilip,"The Romanian DPA investigated Tensa Art Design SA and found that it did not react to a data subject's objection to receiving commercial messages, in violation of Articles 12(3) and 21 GDPR. A fine of €1,000 was imposed."
"DPA: AEPD (Spain)",PS/00281/2022,Spain,21.04.2023,"4(1), 58(2)(c), 15",,,"Complaint → Upheld","50000 EUR","Securitas Direc España, S.A.",isabela.maria.rosal,"After acknowledging that technical log generated by a security device installed in the data subject's house is personal data, the Spanish DPA fined a security company for failing to comply with an order to provide this information to the data subject and imposed a fine of €50,000."
"DPA: ANSPDCP (Romania)",19.04.2023,Romania,,"5(1)(a), 5(1)(b), 6",,,"Investigation → Violation Found","3000 EUR","Salvati Romania Union Party (USR)",Marta.Tudor,"The Romanian DPA fined Salvati Romania Union Party (USR) €3,000 for publishing data on its website in violation of Article 5(1)(a), (b) and Article 6 GDPR."
"DPA: Datatilsynet (Denmark)",2021-31-5654,Denmark,22.12.2022,"6(1)(a), 6(1)(f)",,,"Complaint → Rejected",,"Securitas A/S",'-,"The Danish DPA found that Securitas A/S had a legal basis under Article 6(1)(f) GDPR for disclosing the personal data of an employee to the Police Intelligence Service and the Defense Intelligence Service in connection with a security clearance."
"DPA: AP (The Netherlands)","AP (The Netherlands) - Boete Sociale Verzekeringsbank",Netherlands,19.01.2023,"32(1), 32(2)",,,"Complaint → Upheld","150000 EUR","Sociale verzekeringsbank",kv33,"The SVB, a Dutch institution responsible for different forms of benefits, was fined €150,000 by the Dutch DPA for not ensuring a sufficient identity verification procedure, resulting in the unauthorised disclosure of personal data."
"DPA: Garante per la protezione dei dati personali (Italy)",9897055,Italy,13.04.2023,5,,"Article 139 Civil Code","Investigation → Violation Found","15000.00 EUR","Citynews S.p.A.",melogranojuice,"The Italian DPA fined an online newspaper €15,000 for publishing detailed medical information of a mafia boss. According to the DPA, the paper went beyond what was necessary and violated human dignity."
"Court: RVS",202105980/1/A3,Netherlands,12.04.2023,15,,,,,"Minister van Financiën","Matthias Smet","The Council of State rejected an appeal by a data subject who claimed that the Ministry of Finance did not adequately respond to their access request. The Council stated, among the others, that a report mentioning possible unidentified systems does not imply the existence of secret systems kept by the tax authorities."
"DPA: AKI (Estonia)",2.1.-1/23/2891-5,Estonia,10.03.2023,"6(1)(a), 6(1)(f)",,"§ 10 IKS
§ 4 IKS",Other,,,"Norman Aasma","The Estonian DPA held that the disclosure of personal data of debtors in a public Facebook group was unlawful and ordered the controller to stop the processing."
"DPA: Garante per la protezione dei dati personali (Italy)",9874702,Italy,11.04.2023,"12, 58",,,Other,,"OpenAI L.L.C. (the Controller)",'-,"The Italian DPA lifted its ban on ChatGPT on the condition that OpenAI implements a list of appropriate measures envisaged by the supervisory authority."
"DPA: AEPD (Spain)","AEPD PS-00137-2022",Spain,,"5(1)(c), 12",,,"Complaint → Upheld",,"Data subject
Municipality of Ibiza",isabela.maria.rosal,"Based on a complaint, the Municipality of Ibiza opened investigations about irregular constructions and notified the investigated persons providing them with personal data of the complainant. The DPA found a  violation of 5(1)(c) and issued a reprimand."
"Court: Hof van Beroep",2022/AR/1085,Belgium,01.03.2023,"52, 57(1)(f)",,"Article 98 WOG",,,"Gegevensbeschermingsautoriteit
Employees of Municipality Y","Matthias Smet","An appeal lodged against a dismissal decision of the litigation chamber in which the principle of motivation, due care and the principle of reasonableness has been allegedly violated, is declared admissible but unfounded."
"DPA: Datatilsynet (Norway)",PVN-2022-21,Norway,28.03.2023,"6(1)(e), 6(3), 17, 17(1), 17(3)(b), 17(3)(d)",,"Arkivlova § 9 bokstav c","Complaint → Rejected",,"Norwegian Labour and Welfare Administration at municipality X (NAV)",'-,"After the case was sent back and forth between the state administrator and the DPA, the Norwegian Privacy Appeals Board eventually rejected the data subject's erasure request under Article 17(1)(c) GDPR due to data being stored for archival purposes in the public interest."
"Court: Rb. Rotterdam","C/10/655051 KG ZA 23-243",Netherlands,06.04.2023,28(3),,,,,"Blauw Research B.V.
NEBU B.V.","Matthias Smet","A Dutch Court held that a processor suffering a cyber attack must provide all information to the controller to enable it to investigate the attack, update the controller on the state of affairs at least daily and inform it whenever new information is available."
"Court: GHAMS",200.295.747/01,Netherlands,04.04.2023,15(1)(h),,,,,,"Anton Ekker","A Dutch Court of Appeal ordered Uber to provide drivers with access to their personal data and information about automated decision-making. The Court subjected the controller to a penalty of €4,000 per day until compliance."
"Court: GHAMS",200.295.742/01,Netherlands,04.04.2023,"15(1)(h), 22",,,,,"Uber drivers
Uber B.V.","Anton Ekker","Uber must provide meaningful information about the automated deactivation of drivers."
"Court: GHAMS",200.295.806/01,Netherlands,04.04.2023,"15(1), 15(1)(h)",,,,,"Ola Drivers
Ola Netherlands B.V.","Anton Ekker","Dutch Court of Appeal orders Ola Cabs to provide access to personal data and information about the logic of automated decision-making to drivers."
"DPA: ICO (UK)","TikTok ICO","United Kingdom",,,,"UK GDPR","Investigation → Violation Found","12700000 GBP","TikTok Information Technologies UK","Bernardo Mendonca","The British DPA launched an investigation against TikTok and fined it £12,700,000 million for misusing children’s data."
"DPA: Tietosuojavaltuutetun toimisto (Finland)",6064/163/20,Finland,21.03.2023,"5(1)(a), 5(1)(c), 5(1)(f), 25(2)",,,"Complaint → Upheld",,"City X (Board for Growth and Learning)",'-,"The Finnish DPA found a city in Finland responsible for organising primary education infringing multiple GDPR provisions, as personal data of pupils were made visible to an unnecessarily wide group of people through MS Office 365 e-mail address book."
"DPA: HDPA (Greece)",2/2023,Greece,13.02.2023,"4(7), 5(1), 5(1)(a), 13, 31, 57(1)(f), 58(2)(b)",,"Article 2 of Joint Ministerial Decision (Greek) 6632/2021","Complaint → Upheld",,,"George Grigoriadis","The Greek DPA issued a reprimand on a hotel for unlawfully making and retaining a copy of a guest's Covid-19 vaccination certificate, in violation of Articles 5(1)(a) and 13 GDPR."
"DPA: Garante per la protezione dei dati personali (Italy)",9870832,Italy,30.03.2023,"5, 6, 8, 13",,,"Investigation → Violation Found",,OpenAI,mg,"The Italian DPA imposed a temporary limitation on the processing of personal data by the AI software ChatGPT."
"DPA: HDPA (Greece)",4/2023,Greece,02.02.2023,"5(1)(a), 5(1)(f), 33, 34",,,"Complaint → Upheld","30000 EUR",,"ANASTASIA TSERMENIDOU","The Greek DPA fined a bank €30,000 for transferring financial data of the data subject to an unauthorized third party, in violation of Articles 5(1)(a) and (f), and for failing to notify the breach in line with Articles 33 and 34 GDPR."
"DPA: HDPA (Greece)",5/2023,Greece,02.02.2023,"5(1)(a), 5(1)(b), 6(1)(a), 6(4), 13",,,"Complaint → Upheld","10000 EUR",Vodafone,"Anastasia Vlachopoulou","The Greek DPA fines Vodafone €10,000 for transferring personal data from their customers to an advertising company without prior consent."
"DPA: HDPA (Greece)",7/2023,Greece,20.02.2023,"15, 13",,,"Complaint → Upheld","40000 EUR","Vodafone
Citizen","Anastasia Tsermenidou","The Hellenic DPA fined Vodafone €40,000 for sending the data subject a copy of another person's conversation with its call center, failing to properly respond to an access request, in violation of Articles 15(3) and 33 GDPR."
"Court: BVwG","W292 2259696-1",Austria,27.02.2023,9(2)(f),,,,,,mg,"The Austrian Federal Administrative Court found that the necessity requirement in Article 9(2)(f) GDPR shall not be interpreted narrowly. In particular, this provision allows for the use of intimate pictures of an unfaithful partner in divorce proceedings."
"DPA: Tietosuojavaltuutetun toimisto (Finland)",8086/182/2019,Finland,24.03.2023,"4(11), 7(3), 7(4), 95",2002/58/EC,"2014/917 200§","Investigation → No Violation Found",,,"Eetu Salpaharju","The Finnish DPA held that consent requested by the controller for direct marketing in the context of participation in a lottery was freely given in accordance with Article 4(11) GDPR and fulfilled the condition for withdrawal of consent set out in Article 7(3) GDPR."
"DPA: ANSPDCP (Romania)",23.03.2023,Romania,,"5(1)(a), 5(1)(c), 5(1)(e), 5(2), 6",,"Article 5 Law No. 190/2018","Investigation → Violation Found","5000 EUR","Technoplus Industry SRL",Marta.Tudor,"The Romanian DPA fined Tehnoplus Industry SRL a total of €5,000 for various violations of Articles 5 and 6 GDPR in relation to the processing activities performed through GPS trackers installed on company cars."
"DPA: Datatilsynet (Denmark)",2022-442-21566,Denmark,,32(1),,,"Investigation → Violation Found",,"Hovedstadens Beredskab I/S","Maximilien Hjortland","Article 32 GDPR entails that HR data should be available, on a need-to-know basis, and in general, only accessible to the HR department, and no other colleagues."
"DPA: Datatilsynet (Norway)",21/03126,Norway,08.03.2023,"33(1), 58(2)(i), 83(4)(a)",,,"Investigation → Violation Found","2500000 NOK",,"Rie Aleksandra Walle","The Norwegian DPA fined US-based Argon Medical Devices €220,337 (NOK 2,5 million) for failing to timely report a personal data breach affecting one employee in Norway, in violation of Article 33(1) GDPR."
"DPA: Commissioner (Cyprus)",11.17.001.010.201,Cyprus,16.03.2023,"5(1)(a), 6","EDPB Guidelines 5/2020 on consent",,"Complaint → Upheld",,"Cyprus Hairdressers and Barbers Registration Council","Anastasia Vlachopoulou","The Cyprus Hairdressers and Barbers Registration Board violated Article 5 and 6 of the GDPR due to the unlawful installation of a closed circuit video surveillance system in the workplace."
"Court: Rb. Amsterdam","C/13/683377 / HA ZA 20-468",Netherlands,15.03.2023,"5(1)(a), 6(1), 7(1), 9(1), 9(2)(a), 12, 13, 14, 24(1), 82",,"Article 11.7a Tw
Article 16 Wbp
Article 33 Wbp
Article 34 Wbp
Article 8 Wbp",,,"Data Privacy Stichting
Facebook Netherlands BV
Meta Platforms Inc.
Meta Platforms Ireland Ltd.","Matthias Smet","Following a class action filed by the Data Privacy Foundation, an Amsterdam Court found that Meta violated the GDPR between 2010 and 2020 by processing personal data for advertising purposes. Meta had no legal basis for the processing, it unlawfully processed special categories of data, and infringed its transparency obligations under the GDPR."
"Court: ArbG Oldenburg","3 Ca 150/21",Germany,09.02.2023,"12, 15, 82",,,,,,LR,"The Oldenburg Labour Court ordered a company to pay €10,000 in non-material damages to a former employee. The controller had failed to respond to an access request during an employment dispute."
"DPA: ANSPDCP (Romania)",13.03.2023,Romania,,"12, 13",,,"Investigation → Violation Found","2000 EUR","Modaone SRL",Marta.Tudor,"The Romanian DPA held that by requesting a written, dated and signed document to authenticate the data subject, the controller imposed excessive conditions on the exercise of a GDPR right, in violation of Articles 12 GDPR."
"DPA: DPC (Ireland)",IN-20-7-2,Ireland,27.02.2023,"5, 32",,,"Investigation → Violation Found","750000 EUR","Bank of Ireland",LR,"The Bank of Ireland was fined €750,000 following a data breach. The DPC found that the controller had not adequately assessed the risks of the processing, nor implemented the appropriate security measures."
"DPA: Garante per la protezione dei dati personali (Italy)",9880336,Italy,09.03.2023,"5(1), 6(1), 7, 12, 13, 14, 15",,,"Investigation → Violation Found","3000.00 EUR",,Jelena,"The Italian DPA fined the controller € 3,000 for multiple GDPR violations in relation to unsolicited telephone marketing as the controller failed to demonstrate the lawfulness of processing of personal data acquired from third parties."
"DPA: Garante per la protezione dei dati personali (Italy)",9872646,Italy,,"5(1)(a), 13",,"Art 4 L. 300/1970
Article 114 Personal Data Protection Code",Other,"3000 EUR","Guardia di Finanza di Seregno
sig. Stefano Molena",'-,"The Italian DPA imposed a €3,000 fine on an Italian store manager for the violation of Articles 5(1)(a) and 13 GDPR because he set up a video surveillance camera in his store without the required information signs."
"DPA: APD/GBA (Belgium)",20/2023,Belgium,,"2(4), 21(3), 24, 58(2)(c)",,"Article 95 LCA","Complaint → Upheld",,,Fahim.h.i.,"A complaint for unsolicited direct marketing. The Belgian DPA affirms the importance of a data subject’s right to objection for data processing under Article 21 GDPR and the principle of liability under Article 2(4) GDPR and Article 24 GDPR."
"Court: Cass.",CCASS:2023:SO00231,France,,"4, 5(1)(a), 5(1)(b), 5(1)(f), 5(1)(e), 6, 32",,"145 CPC",,,,"Jennifer Vidal Ferreira","The French Supreme Civil Court held that when proving a gender salary inequality, the Courts can oblige the controllers to disclose personal data about other employees. This is a proportionate measure to protect gender equality in employment."
"DPA: APD/GBA (Belgium)",17/2023,Belgium,01.03.2023,"5(1)(f), 5(2), 12(3), 15(1), 15(1)(a), 32",,"Article 17 Loi organisant un registre national des personnes physiques","Complaint → Upheld",,,"Enzo Marquet","A data subject noticed that his national register file was consulted twice and did not get the requested explanation from the municipality. The Belgian DPA ordered the municipality to comply with the access request and recommended to log the access to the national registry as a security measure."
"DPA: ANSPDCP (Romania)",06.03.2023,Romania,,"32, 83",,,"Investigation → Violation Found","3000 EUR","Finopro IFN
Integral Collection",ls,"The Romanian DPA fined two companies who suffered ransomware attacks followed by data breaches for not ensuring a sufficient level of security."
"DPA: APD/GBA (Belgium)",19/2023,Belgium,03.03.2023,"12, 15",,,"Complaint → Upheld",,n/a,'-,"The Belgian DPA ordered a controller to comply with its obligations to facilitate the exercise of data subjects' rights and, in particular, to respond to a data subject's request of access to his data after not responding to any of his emails."
"DPA: DPC (Ireland)",05/SIU/2018,Ireland,16.01.2023,"2, 5, 6, 13, 26, 32, 58, 83","Law Enforcement Directive 2016/680","Irish Data Protection Act 2018
Irish Roads Act 1993","Investigation → Violation Found","50000 EUR",,LR,"The Irish DPA fined Kildare County Council €50,000 for unlawful processing of personal data using CCTV cameras, a lack of transparency, and inadequate security measures."
"DPA: Garante per la protezione dei dati personali (Italy)",9860553,Italy,15.12.2022,"5, 6",,,"Investigation → Violation Found","120000 EUR",,sabrina_salmeri,"The Italian DPA fined Assiteca Spa, an insurance company, €120,000 for unlawful data processing due to lack of consent, and long term data retention. The infringements could be attributed to flaws on the integration of IT systems, following a merger."
"DPA: APD/GBA (Belgium)",18/2023,Belgium,02.03.2023,"5(1)(a), 6(1)",,,"Complaint → Upheld",,"A care home (the controller)
Mrs. X (the data subject)",'-,"An employer has no legal obligation to inform its staff of the identity of an employee who requested an intervention following harassment. This processing was considered unlawful, even though the identity of the employee was publicly available."
"DPA: Garante per la protezione dei dati personali (Italy)",9873408,Italy,02.03.2023,"5(1)(a), 6(1)(a), 28",,,"Investigation → Violation Found","1000 EUR","Razmataz Live srl",'-,"The Italian DPA fined a marketing services provider that, acting as a processor, failed to ensure that a sub-processor complied with the fundamental principles of the GDPR."
"DPA: Tietosuojavaltuutetun toimisto (Finland)",310/161/23,Finland,17.02.2023,83(6),,,"Investigation → Violation Found","440,000 EUR","Suomen Asiakastieto Oy",fred,"The Finnish DPA imposed a fine of €440,000 on a consumer credit information service provider for failing to erase incorrect payment default entries stored into the credit information register due to inadequate practices."
"DPA: Datatilsynet (Norway)",20/03771,Norway,28.02.2023,"4(16)(a), 4(23)(b), 44, 46(2)(c), 56(1), 56(1), 58(2)(b), 60(3), 80(1)",,,"Investigation → Violation Found",,,"Rie Aleksandra Walle","Following one of noyb's 101 US transfer complaints], the Norwegian DPA has notified a controller of their intent to reprimand their former use of Google Analytics and consequent transfer of personal data to the US in violation of Article 44 GDPR, as they did not have sufficient supplementary measures in place."
"DPA: UODO (Poland)",DKN.5131.49.2021,Poland,,"33(1), 34(1)",,,"Investigation → Violation Found","51876 PLN",,kiki,"The Polish DPA considered the intentional disclosure of personal data by a housing association as a data breach and fined it approximately €11,534 for failing to notify both the affected data subject and the DPA."
"DPA: APD/GBA (Belgium)",16/2023,Belgium,,"5(2), 6(1), 24(1), 29, 32",,"Act of 8 August 1983 regulating a National Register of Natural Persons","Complaint → Partly Upheld",,"Centre public d'action sociale","Matthias Smet","An employee of the public social service acts as controller when consulting the national register of a data subject for personal purposes. This processing does not rely on a legal basis and therefore breaches Article 5(1)(a) and 6 GDPR."
"DPA: Garante per la protezione dei dati personali (Italy)",9871886,Italy,23.02.2023,"5(1)(a), 6, 7, 13, 28",,,"Investigation → Violation Found","54609.62 EUR",,'-,"The Italian DPA viewed the one-person telesales company as an independent controller when the company acquired contact details for the telephone company Vodafone. The DPA imposed a fine of €54,609 and ordered a prohibition of any further processing of the personal data."
"DPA: AEPD (Spain)",PS/00305/2022,Spain,,6(1),,,"Complaint → Partly Upheld","24000 EUR","MAPFRE ESPAÑA COMPAÑÍA DE SEGUROS Y REASEGUROS, S.A.",CSO,"The Spanish DPA fined Mapfre, an insurance company, for a violation of Article 6 GDPR for processing personal data for an insurance policy without a legal basis. The initial fine was €30,000, but the procedure was closed after the voluntary payment of €24,000 by the controller."
"Court: UPRS","UPRS I U 1911/2019-21",Slovenia,10.08.2022,,,"ZInfP
ZVOP-1",,,,elisabeth,"Slovenian administartive court decided that defendant did not act correctly when it transferred his complaint to an authority which, according to the provisions of ZVOP-1 (slovenian law), was not a competent for decision-making at the second level."
"DPA: IMY (Sweden)",DI-2021-3399,Sweden,10.10.2022,"6(1), 6(1)(c), 6(1)(f), 13(1)(e)",,,"Complaint → Partly Upheld",,"Trionic Sverige AB",'-,"In an Article 60 GDPR decision, the Swedish DPA reprimanded a company for, among others, a violation of Article 6 GDPR. Since the data subject had provided an invalid e-mail address for the order confirmation, the company, in an attempt to track the client, shared his data with the e-mail domain provider."
"DPA: Garante per la protezione dei dati personali (Italy)",9856345,Italy,15.12.2022,"5(1)(a), 5(2), 6, 7, 12(1), 12(2), 12(3), 21(2), 24(1), 24(2)",,,"Complaint → Upheld","4900000 EUR","Edison Energia",'-,"The Italian DPA fined Edison Energia, an Italian Energy provider, €4,900,000 for multiple GDPR violations concerning a marketing operation. Among other violations, the controller did not obtain valid consent to carry out such activities."
"DPA: AEPD (Spain)",PS-00480-2022,Spain,,"5(1)(f), 32",,,"Complaint → Upheld",,"General Directorate of Police","Michelle Ayora","The Spanish DPA reprimanded the Spanish Police for using recycled documents after their official use, which contained personal data of citizens and police officers. These notepads were placed on the main counter of a police station, resulting in a violation of Articles 5(1)(f) and 32 GDPR."
"Court: Rb. Rotterdam","ROT 22/2125",Netherlands,17.02.2023,"13(4), 14(5)(a), 15(1), 23(1)(d), 23(1)(i)",,,,,"Minister of Finance (Dutch Tax Administration)",elsjegold,"When the Dutch Tax Administration answers a data subject's access request, it should search beyond the general system it uses and provide specific information as to the purpose of the processing, the potential recipients and the source of the data."
"DPA: APD/GBA (Belgium)",12/2023,Belgium,16.02.2023,"5(1)(c), 5(1)(a), 6(1), 6(3), 12, 13, 15",,,"Complaint → Rejected",,"Requests and Social Affairs Department of the King's Office
DPA/GBA",ls,"The Belgian DPA found violations of Articles 12 and 13 GDPR for data processing operations carried out by an office department of the King of Belgium. However, due to the King's immunity under Belgian law, the DPA declared the complaint inadmissible."
"DPA: Garante per la protezione dei dati personali (Italy)",9853406,Italy,21.12.2022,"5, 6, 9, 56, 57, 58, 61, 66",,,"Investigation → Other Outcome",,"Meta Ireland Limited",LR,"Following a lack of substantive feedback or assessment from the DPC during the mutual assistance procedure (Article 61 GDPR), The Italian DPA initiated the urgency mechanism in Article 66 GDPR to prohibit Meta’s processing of personal data in the context of the Italian elections."
"Court: BVwG","W252 2248013-1",Austria,26.01.2023,15,,,,,,LR,"The Federal Administrative Court confirmed that an individual cannot submit a request to access the personal data of their deceased father."
"DPA: HDPA (Greece)",1/2023,Greece,11.01.2023,"17, 21(1), 21(2), 51, 55, 56(2)",,,"Complaint → Other Outcome",,,"Anastasia Tsermenidou","After Google failed to respond to a right to erasure request made by a Greek data subject, the Greek DPA held that it is competent to examine the complaint, as the processing concerns only a Greek data subject, and is conducted by Google LLC, based in the US."
"DPA: APD/GBA (Belgium)",09/2023,Belgium,09.02.2023,"12(3), 17(1), 58(2)",,,"Complaint → Upheld",,,"Matthias Smet","The DPA determined that the controller violated Articles 12(3), 12(4) and 17(1) GDPR by not taking the necessary steps to remove the data subject's e-mail from its mailing list. The DPA ordered the controller to comply with the erasure request pursuant to Article 58(2)(c) GDPR."
